{'body_part': 'board', 'category': 'alphabet', 'content': 'c', 'speed': 'medium', 'trial_index': 38, 'start': 7117.60340554, 'end': 7117.628753555, 'duration_s': 0.025348015000417945, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'h', 'speed': 'medium', 'trial_index': 39, 'start': 7117.628778553, 'end': 7117.654688987, 'duration_s': 0.025910433999342786, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'J', 'speed': 'medium', 'trial_index': 40, 'start': 7117.654717655, 'end': 7117.679575526, 'duration_s': 0.02485787099976733, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'n', 'speed': 'medium', 'trial_index': 41, 'start': 7117.679598558, 'end': 7117.705881896, 'duration_s': 0.026283338000212098, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'b', 'speed': 'medium', 'trial_index': 42, 'start': 7117.705911489, 'end': 7117.731398948, 'duration_s': 0.025487459000032686, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'G', 'speed': 'medium', 'trial_index': 43, 'start': 7117.731420877, 'end': 7117.756843158, 'duration_s': 0.025422280999919167, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'p', 'speed': 'medium', 'trial_index': 44, 'start': 7117.756870873, 'end': 7117.782169098, 'duration_s': 0.025298225000369712, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'Y', 'speed': 'medium', 'trial_index': 45, 'start': 7117.782193119, 'end': 7117.807213483, 'duration_s': 0.025020363999828987, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'l', 'speed': 'medium', 'trial_index': 46, 'start': 7117.807235601, 'end': 7117.832438054, 'duration_s': 0.025202453000019887, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'q', 'speed': 'medium', 'trial_index': 47, 'start': 7117.832463266, 'end': 7118.231823156, 'duration_s': 0.39935989000059635, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'k', 'speed': 'medium', 'trial_index': 48, 'start': 7118.231834407, 'end': 7118.425753352, 'duration_s': 0.19391894500040507, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'Z', 'speed': 'medium', 'trial_index': 49, 'start': 7118.425781565, 'end': 7118.744677439, 'duration_s': 0.3188958740001908, 'qualified': False}
{'body_part': 'board', 'category': 'alphabet', 'content': 'r', 'speed': 'medium', 'trial_index': 50, 'start': 7118.744694532, 'end': 7119.238492349, 'duration_s': 0.49379781700008607, 'qualified': True}
{'body_part': 'board', 'category': 'alphabet', 'content': 't', 'speed': 'medium', 'trial_index': 51, 'start': 7119.238501075, 'end': 7120.135607539, 'duration_s': 0.8971064639999895, 'qualified': True}
{'body_part': 'board', 'category': 'alphabet', 'content': 'E', 'speed': 'medium', 'trial_index': 52, 'start': 7120.135617653, 'end': 7121.041483762, 'duration_s': 0.9058661090002715, 'qualified': True}
{'body_part': 'board', 'category': 'word', 'content': 'monthly', 'speed': 'medium', 'trial_index': 1, 'start': 7123.600368465, 'end': 7124.010948647, 'duration_s': 0.41058018199964863, 'qualified': True}
{'body_part': 'board', 'category': 'word', 'content': 'pain', 'speed': 'medium', 'trial_index': 2, 'start': 7124.010963209, 'end': 7124.035818207, 'duration_s': 0.024854998000591877, 'qualified': False}
{'body_part': 'board', 'category': 'word', 'content': 'taxes', 'speed': 'medium', 'trial_index': 3, 'start': 7124.035846845, 'end': 7124.061663515, 'duration_s': 0.02581666999958543, 'qualified': False}
{'body_part': 'board', 'category': 'word', 'content': 'virginia', 'speed': 'medium', 'trial_index': 4, 'start': 7124.061683709, 'end': 7124.087225789, 'duration_s': 0.025542079999468115, 'qualified': False}
{'body_part': 'board', 'category': 'word', 'content': 'found', 'speed': 'medium', 'trial_index': 5, 'start': 7124.087247662, 'end': 7124.112104498, 'duration_s': 0.02485683600025368, 'qualified': False}
{'body_part': 'board', 'category': 'word', 'content': 'policy', 'speed': 'medium', 'trial_index': 6, 'start': 7124.112129051, 'end': 7124.1373885, 'duration_s': 0.025259449000259337, 'qualified': False}
{'body_part': 'board', 'category': 'word', 'content': 'cash', 'speed': 'medium', 'trial_index': 7, 'start': 7124.137412814, 'end': 7124.163083116, 'duration_s': 0.025670302000435186, 'qualified': False}
{'body_part': 'board', 'category': 'word', 'content': 'available', 'speed': 'medium', 'trial_index': 8, 'start': 7124.163110232, 'end': 7124.188207533, 'duration_s': 0.02509730100064189, 'qualified': False}
{'body_part': 'board', 'category': 'word', 'content': 'email', 'speed': 'medium', 'trial_index': 9, 'start': 7124.188230754, 'end': 7124.214169007, 'duration_s': 0.025938253000276745, 'qualified': False}
{'body_part': 'board', 'category': 'word', 'content': 'th', 'speed': 'medium', 'trial_index': 10, 'start': 7124.214191018, 'end': 7124.239659159, 'duration_s': 0.025468141000601463, 'qualified': False}
{'body_part': 'board', 'category': 'password', 'content': '357363', 'speed': 'medium', 'trial_index': 1, 'start': 7124.291928613, 'end': 7124.317614316, 'duration_s': 0.025685702999908244, 'qualified': False}
